행정구역,총인구수,연령구간인구수,2020년12월_계_0~9세,2020년12월_계_10~19세,2020년12월_계_20~29세,2020년12월_계_30~39세,2020년12월_계_40~49세,2020년12월_계_50~59세,2020년12월_계_60~69세,2020년12월_계_70~79세,2020년12월_계_80~89세,2020년12월_계_90~99세,2020년12월_계_100세 이상
서울특별시  (1100000000),9668465,9668465,623745,781866,1460411,1475106,1528182,1523556,1243954,704076,278094,42683,6792
서울특별시 종로구 (1111000000),149384,149384,7527,11013,23416,19943,22231,25459,19948,12500,5978,1093,276
서울특별시 종로구 청운효자동(1111051500),12431,12431,827,1165,1596,1694,2151,1976,1388,1010,529,75,20
서울특별시 종로구 사직동(1111053000),9526,9526,579,692,1237,1441,1478,1560,1195,768,462,93,21
서울특별시 종로구 삼청동(1111054000),2640,2640,105,191,320,359,369,417,413,281,149,30,6
서울특별시 종로구 부암동(1111055000),10022,10022,553,927,1340,1239,1630,1725,1320,806,392,78,12
서울특별시 종로구 평창동(1111056000),18391,18391,1170,1645,2451,2236,2763,3267,2512,1386,772,166,23
서울특별시 종로구 무악동(1111057000),8546,8546,694,1014,936,943,1505,1419,1003,650,311,52,19
서울특별시 종로구 교남동(1111058000),10477,10477,859,861,1277,1708,1850,1623,1159,746,325,54,15
서울특별시 종로구 가회동(1111060000),4325,4325,201,343,495,572,768,685,588,436,189,38,10
서울특별시 종로구 종로1.2.3.4가동(1111061500),7256,7256,188,209,880,942,962,1339,1399,834,369,90,44
서울특별시 종로구 종로5.6가동(1111063000),5242,5242,118,231,1080,710,587,977,750,527,215,38,9
서울특별시 종로구 이화동(1111064000),7588,7588,236,428,1680,1239,972,1106,946,610,310,47,14
서울특별시 종로구 혜화동(1111065000),16799,16799,689,1313,4483,2079,2295,2304,1631,1250,636,98,21
서울특별시 종로구 창신제1동(1111067000),5129,5129,127,245,609,539,637,1114,1030,546,229,44,9
서울특별시 종로구 창신제2동(1111068000),8318,8318,245,507,1166,894,1103,1833,1383,811,309,53,14
서울특별시 종로구 창신제3동(1111069000),6925,6925,381,530,966,961,957,1290,1001,540,240,47,12
서울특별시 종로구 숭인제1동(1111070000),6078,6078,286,362,808,826,943,1147,884,544,232,36,10
서울특별시 종로구 숭인제2동(1111071000),9691,9691,269,350,2092,1561,1261,1677,1346,755,309,54,17
서울특별시 중구 (1114000000),125240,125240,6836,6773,18586,20107,18011,20702,17551,10733,4836,900,205
서울특별시 중구 소공동(1114052000),2069,2069,166,113,219,419,449,307,235,106,40,10,5
서울특별시 중구 회현동(1114054000),5136,5136,199,195,511,537,665,969,1036,601,292,88,43
서울특별시 중구 명동(1114055000),2914,2914,83,131,357,387,429,496,527,323,144,28,9
서울특별시 중구 필동(1114057000),4034,4034,191,170,726,622,493,610,624,351,185,52,10
서울특별시 중구 장충동(1114058000),4664,4664,183,290,1256,664,564,594,516,379,185,30,3
서울특별시 중구 광희동(1114059000),5224,5224,131,200,896,819,638,873,851,551,209,41,15
서울특별시 중구 을지로동(1114060500),1816,1816,48,37,190,301,197,327,398,207,79,21,11
서울특별시 중구 신당동(1114061500),7692,7692,276,288,1367,1308,1055,1394,1025,665,248,58,8
서울특별시 중구 다산동(1114062500),14243,14243,580,821,2377,2261,2066,2316,1980,1236,510,82,14
서울특별시 중구 약수동(1114063500),17128,17128,1118,958,2022,2424,2464,2845,2677,1645,813,153,9
서울특별시 중구 청구동(1114064500),14056,14056,776,882,2014,2212,1953,2371,1951,1191,608,88,10
서울특별시 중구 신당제5동(1114065000),10527,10527,576,548,1676,1747,1548,1877,1322,841,330,49,13
서울특별시 중구 동화동(1114066500),10656,10656,743,855,1434,1344,1597,1956,1426,792,425,70,14
서울특별시 중구 황학동(1114067000),12583,12583,737,517,2088,2803,1831,1781,1516,906,341,54,9
서울특별시 중구 중림동(1114068000),12498,12498,1029,768,1453,2259,2062,1986,1467,939,427,76,32
서울특별시 용산구 (1117000000),230040,230040,13496,15609,33485,38069,35698,37070,28840,17203,8572,1627,371
서울특별시 용산구 후암동(1117051000),17696,17696,965,1272,2597,2830,2803,2867,2259,1340,603,129,31
서울특별시 용산구 용산2가동(1117052000),9972,9972,364,534,1557,1736,1391,1454,1451,923,452,88,22
서울특별시 용산구 남영동(1117053000),7623,7623,190,262,960,1041,1099,1625,1368,689,286,72,31
서울특별시 용산구 청파동(1117055500),19829,19829,665,1175,4244,3113,2757,3133,2387,1526,687,108,34
서울특별시 용산구 원효로제1동(1117056000),16089,16089,1318,868,2458,3695,2628,2209,1619,842,363,70,19
서울특별시 용산구 원효로제2동(1117057000),14202,14202,941,1258,1856,2074,2306,2348,1733,1056,545,71,14
서울특별시 용산구 효창동(1117058000),10205,10205,768,767,1575,1859,1570,1566,1061,638,327,60,14
서울특별시 용산구 용문동(1117059000),12327,12327,766,843,1856,2023,1863,1975,1552,972,393,71,13
서울특별시 용산구 한강로동(1117062500),20444,20444,1122,997,3138,4043,2867,3464,2544,1422,662,142,43
서울특별시 용산구 이촌제1동(1117063000),28139,28139,2734,2918,3002,3663,4914,4593,3005,1839,1198,240,33
서울특별시 용산구 이촌제2동(1117064000),8727,8727,563,514,965,1470,1257,1406,1337,770,367,64,14
서울특별시 용산구 이태원제1동(1117065000),6923,6923,237,282,1054,1150,880,1131,1077,638,370,80,24
서울특별시 용산구 이태원제2동(1117066000),9285,9285,432,494,1409,1656,1421,1300,1208,841,424,85,15
서울특별시 용산구 한남동(1117068500),21176,21176,1178,1162,2784,4038,3379,3291,2781,1639,727,162,35
서울특별시 용산구 서빙고동(1117069000),13187,13187,787,1471,1802,1522,2468,2219,1418,806,602,86,6
서울특별시 용산구 보광동(1117070000),14216,14216,466,792,2228,2156,2095,2489,2040,1262,566,99,23
서울특별시 성동구 (1120000000),293556,293556,20449,19815,45043,48905,45020,47248,36534,20586,8520,1185,251
서울특별시 성동구 왕십리제2동(1120052000),17085,17085,1227,1208,2498,2942,2647,2749,2094,1191,444,65,20
서울특별시 성동구 왕십리도선동(1120053500),27081,27081,2376,1570,4404,4765,4032,4414,3053,1623,710,111,23
서울특별시 성동구 마장동(1120054000),22785,22785,1207,1623,4372,3274,3023,3712,3006,1743,709,97,19
서울특별시 성동구 사근동(1120055000),11932,11932,423,780,4642,1592,1153,1287,953,754,301,36,11
서울특별시 성동구 행당제1동(1120056000),14077,14077,1011,995,2215,2286,2172,2270,1683,977,389,67,12
서울특별시 성동구 행당제2동(1120057000),24063,24063,1820,2113,3027,3713,4079,3927,2804,1741,718,99,22
서울특별시 성동구 응봉동(1120058000),15764,15764,1190,1685,1754,2254,2937,2482,1681,1181,522,69,9
서울특별시 성동구 금호1가동(1120059000),15711,15711,1310,1058,1823,2765,2547,2385,2109,1125,513,64,12
서울특별시 성동구 금호2.3가동(1120061500),23409,23409,1750,1497,2931,4172,3760,3695,2981,1756,741,100,26
서울특별시 성동구 금호4가동(1120062000),14704,14704,1391,959,1507,2804,2574,2118,1786,1060,442,54,9
서울특별시 성동구 옥수동(1120064500),26661,26661,2584,1655,3010,5087,4504,3943,3205,1766,743,136,28
서울특별시 성동구 성수1가제1동(1120065000),16553,16553,1037,1111,2555,2904,2404,3048,2115,942,383,46,8
서울특별시 성동구 성수1가제2동(1120066000),13452,13452,767,905,2153,2477,2098,2059,1689,896,351,42,15
서울특별시 성동구 성수2가제1동(1120067000),16589,16589,830,896,2351,2610,2320,3151,2617,1242,486,71,15
서울특별시 성동구 성수2가제3동(1120069000),11177,11177,576,540,2019,1967,1465,1849,1524,824,359,44,10
서울특별시 성동구 송정동(1120072000),10725,10725,531,599,1713,1641,1558,1966,1616,748,299,46,8
서울특별시 성동구 용답동(1120079000),11788,11788,419,621,2069,1652,1747,2193,1618,1017,410,38,4
서울특별시 광진구 (1121500000),346682,346682,19572,25931,62940,55983,52482,54541,42460,22428,8850,1277,218
서울특별시 광진구 화양동(1121571000),22658,22658,381,713,9653,4383,2189,2091,1701,1050,408,66,23
서울특별시 광진구 군자동(1121573000),19930,19930,889,1047,4493,3637,2627,2899,2364,1366,532,66,10
서울특별시 광진구 중곡제1동(1121574000),15792,15792,774,764,2829,2990,2193,2532,2084,1174,387,56,9
서울특별시 광진구 중곡제2동(1121575000),21943,21943,1208,1408,3915,3932,3006,3571,2833,1494,496,71,9
서울특별시 광진구 중곡제3동(1121576000),16683,16683,765,957,2712,2750,2323,2921,2405,1293,483,60,14
서울특별시 광진구 중곡제4동(1121577000),29387,29387,1483,1950,4493,4387,4178,5323,4363,2305,767,111,27
서울특별시 광진구 능동(1121578000),11610,11610,578,553,2405,2668,1641,1415,1258,746,294,46,6
서울특별시 광진구 광장동(1121581000),35440,35440,3315,5511,4147,3839,7692,5470,3022,1473,810,151,10
서울특별시 광진구 자양제1동(1121582000),22790,22790,1017,1513,4390,3789,3385,3628,2852,1536,584,82,14
서울특별시 광진구 자양제2동(1121583000),25641,25641,1628,1889,3859,3934,4039,4283,3610,1694,596,96,13
서울특별시 광진구 자양제3동(1121584000),28687,28687,2335,2640,3953,4335,4594,4675,3554,1615,847,124,15
서울특별시 광진구 자양제4동(1121584700),17810,17810,710,879,2707,2612,2468,3120,2992,1619,608,78,17
서울특별시 광진구 구의제1동(1121585000),22040,22040,852,1189,4836,4228,3217,3191,2441,1429,580,62,15
