행정구역,2022년05월_계_총인구수,2022년05월_계_연령구간인구수,2022년05월_계_0~9세,2022년05월_계_10~19세,2022년05월_계_20~29세,2022년05월_계_30~39세,2022년05월_계_40~49세,2022년05월_계_50~59세,2022년05월_계_60~69세,2022년05월_계_70~79세,2022년05월_계_80~89세,2022년05월_계_90~99세,2022년05월_계_100세 이상
서울특별시  (1100000000),9496887,9496887,567846,753608,1414109,1431377,1471932,1507508,1290016,708167,308073,42528,1723
부산광역시  (2600000000),3338167,3338167,214227,265390,407345,401267,499981,551219,550216,303785,128358,15945,434
대구광역시  (2700000000),2376676,2376676,163585,217674,303920,282025,368705,418324,344610,181408,85638,10519,268
인천광역시  (2800000000),2955167,2955167,213152,270717,385619,401964,481428,511681,406819,184293,85824,13244,426
광주광역시  (2900000000),1436012,1436012,110875,151063,203113,178812,235729,237165,173069,95464,44386,6152,184
대전광역시  (3000000000),1448933,1448933,105212,140734,207048,188394,229486,239729,192967,93935,44914,6337,177
울산광역시  (3100000000),1116482,1116482,88907,109530,134433,142245,183080,206317,158433,65071,25064,3337,65
세종특별자치시  (3600000000),379340,379340,46966,47215,39042,61610,75024,50503,34499,15279,7817,1355,30
경기도  (4100000000),13581496,13581496,1074872,1320974,1774747,1887128,2294308,2289392,1699941,793215,388164,56898,1857
강원도  (4200000000),1539005,1539005,99035,132684,173167,161334,218472,264357,262354,136457,78980,11816,349
충청북도  (4300000000),1597033,1597033,113683,145903,192050,188750,237118,270074,244950,122820,71535,9849,301
충청남도  (4400000000),2119661,2119661,157990,200759,235052,255699,326698,341035,304788,173809,107026,16353,452
전라북도  (4500000000),1779230,1779230,115463,168330,203115,179013,257963,299705,270458,169773,99840,15139,431
전라남도  (4600000000),1827674,1827674,119998,161672,190627,175040,251500,313471,287388,190975,118532,17940,531
경상북도  (4700000000),2616177,2616177,172628,220543,269089,274115,374777,453681,437700,247015,144989,21073,567
경상남도  (4800000000),3298016,3298016,241484,317932,352833,371689,524479,579604,500819,255184,134240,19345,407
제주특별자치도  (5000000000),677766,677766,56769,70458,79445,80207,111658,116482,86227,46361,25561,4390,208
