행정구역,2021년05월_계_총인구수,2021년05월_계_연령구간인구수,2021년05월_계_0~4세,2021년05월_계_5~9세,2021년05월_계_10~14세,2021년05월_계_15~19세,2021년05월_계_20~24세,2021년05월_계_25~29세,2021년05월_계_30~34세,2021년05월_계_35~39세,2021년05월_계_40~44세,2021년05월_계_45~49세,2021년05월_계_50~54세,2021년05월_계_55~59세,2021년05월_계_60~64세,2021년05월_계_65~69세,2021년05월_계_70~74세,2021년05월_계_75~79세,2021년05월_계_80~84세,2021년05월_계_85~89세,2021년05월_계_90~94세,2021년05월_계_95~99세,2021년05월_계_100세 이상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전국  (0000000000),51683025,51683025,1606712,2267462,2353447,2392656,3202039,3552244,3160965,3627107,3939470,4280874,4459318,4147271,4063202,2894600,2104407,1590226,1162978,611738,208516,46731,11062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시  (1100000000),9575355,9575355,257987,347066,370344,397982,619593,826125,727917,727449,726707,776606,790864,719069,721957,542182,402283,294387,191096,92394,32896,7931,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시  (2600000000),3367334,3367334,92733,133896,132068,136461,201701,223428,191706,220350,244894,261229,281243,278083,304186,236559,172875,121176,81350,37812,12266,2564,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구광역시  (2700000000),2402940,2402940,70327,102942,106932,114740,156282,160584,135035,154282,176735,201283,217760,204032,193439,141830,102388,73677,53411,26928,8154,1676,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시  (2800000000),2936382,2936382,92243,130509,135732,136315,182291,214090,187176,214258,232323,248132,258737,250855,232511,150628,103169,74671,51937,27764,10081,2427,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광주광역시  (2900000000),1443154,1443154,46974,69834,75015,79473,105416,102585,82539,100636,113973,124152,125330,108860,100052,67386,54306,39426,27176,13793,4928,1057,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대전광역시  (3000000000),1457161,1457161,45613,65554,70005,74220,102538,108775,91501,100212,110289,123587,127861,112048,109644,75950,52744,38759,27157,14539,4925,1038,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시  (3100000000),1127175,1127175,38979,56348,56425,54303,68608,72999,67191,81205,90199,95325,106179,101033,91190,59429,37501,23760,15494,7806,2541,575,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세종특별자치시  (3600000000),362036,362036,20431,26643,25083,18763,17302,20792,26262,35056,37325,32994,26113,20356,18878,12955,8479,5978,4540,2781,1067,201,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도  (4100000000),13488910,13488910,470346,655773,668423,656611,853725,958307,873890,1026334,1114344,1180739,1187225,1059946,964888,635548,437767,330330,236190,123198,42982,10029,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
