날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-01,143,0.2,-4.9,4.6
2020-01-02,143,3.4,-1.7,7.3
2020-01-03,143,3.6,-0.8,8.6
2020-01-04,143,2.7,-2.3,8.6
2020-01-05,143,2.2,-4.3,10.2
2020-01-06,143,1.4,-1.4,3
2020-01-07,143,7,2.9,15.7
2020-01-08,143,7.9,5.4,14.1
2020-01-09,143,3.2,1,6.5
2020-01-10,143,2.2,-3.6,9.2
2020-01-11,143,3.3,-0.2,8
2020-01-12,143,2.7,0.2,6.5
2020-01-13,143,2.1,-0.6,5.5
2020-01-14,143,1.6,-0.9,5.8
2020-01-15,143,0.9,-2.8,5.2
2020-01-16,143,0.3,-4.7,7.2
2020-01-17,143,1.4,-2.1,8
2020-01-18,143,3.1,-1.1,8.7
2020-01-19,143,3.2,-3.2,9
2020-01-20,143,4.6,2.4,8.1
2020-01-21,143,1.9,-2,7.9
2020-01-22,143,2.9,0.2,5.7
2020-01-23,143,5,2.7,8.6
2020-01-24,143,6.1,0.5,11.8
2020-01-25,143,7.2,5.4,9.8
2020-01-26,143,6.7,1.7,11.2
2020-01-27,143,6.2,4.5,8.5
2020-01-28,143,7.4,4.5,11.1
2020-01-29,143,6.2,3.6,9.8
2020-01-30,143,5.7,3.1,9.3
2020-01-31,143,4.4,0.9,8.3
2020-02-01,143,2.9,-1.8,8.1
2020-02-02,143,3.6,-1.7,9.5
2020-02-03,143,3.1,0.3,7.5
2020-02-04,143,1.9,-4.3,7.7
2020-02-05,143,-1.5,-4.9,3.4
2020-02-06,143,-2.1,-7.5,3.6
2020-02-07,143,1.1,-4.4,7.7
2020-02-08,143,2.9,0.4,7.2
2020-02-09,143,1.9,-4.4,8
2020-02-10,143,5.5,1.4,12.1
2020-02-11,143,6.1,-2.9,13.5
2020-02-12,143,8.1,6,9.5
2020-02-13,143,10.4,6,15.3
2020-02-14,143,10.7,5.2,18.5
2020-02-15,143,12,7.4,17.3
2020-02-16,143,5,0.1,12.1
2020-02-17,143,-1.6,-4.2,1.8
2020-02-18,143,-0.2,-5.4,5.3
2020-02-19,143,4.7,-0.6,11.4
2020-02-20,143,6.1,-0.3,14.4
2020-02-21,143,8.3,-0.8,16.7
2020-02-22,143,8.2,3.2,12.1
2020-02-23,143,4.9,0.6,11.2
2020-02-24,143,8.1,-1.2,16.4
2020-02-25,143,7,5.7,9.8
2020-02-26,143,8.3,5.9,13.5
2020-02-27,143,6.1,4.6,9.3
2020-02-28,143,4.5,2.3,8.1
2020-02-29,143,6.3,2,11.8
2020-03-01,143,9.4,3.6,14.7
2020-03-02,143,7.1,4.2,11.5
2020-03-03,143,7.7,3.7,12.5
2020-03-04,143,5.9,1,10.6
2020-03-05,143,3.7,-0.7,10.4
2020-03-06,143,5.4,-2.9,13.9
2020-03-07,143,5.7,1.5,10.2
2020-03-08,143,8.3,1.8,16
2020-03-09,143,9.1,1.6,15.1
2020-03-10,143,9,5.8,10.7
2020-03-11,143,6.4,2.9,11.2
2020-03-12,143,8.3,-0.9,17.1
2020-03-13,143,9.4,3.8,15.4
2020-03-14,143,6.5,1.6,11.5
2020-03-15,143,6.2,1.6,12.2
2020-03-16,143,6.4,0.8,12.1
2020-03-17,143,10.5,1.1,18.6
2020-03-18,143,11.7,3.3,19.6
2020-03-19,143,10.8,6,19.4
2020-03-20,143,12,7,18.6
2020-03-21,143,15,5.2,25.4
2020-03-22,143,14.1,7.8,21.7
2020-03-23,143,11.5,3,20.1
2020-03-24,143,11.2,3.8,19
2020-03-25,143,13.1,3.6,21.4
2020-03-26,143,13.2,9.8,16.9
2020-03-27,143,14.6,9.8,19.6
2020-03-28,143,8.2,6.2,11.1
2020-03-29,143,8.7,3.4,14.4
2020-03-30,143,11.5,6.1,18.3
2020-03-31,143,12.8,4.6,21.1
2020-04-01,143,13.9,9,19.8
2020-04-02,143,12.6,4.4,19
2020-04-03,143,13.5,5.3,20.6
2020-04-04,143,10.8,5.5,20.2
2020-04-05,143,9.3,1.5,16.6
2020-04-06,143,11.3,1.3,18.9
2020-04-07,143,15.3,8.5,21.7
2020-04-08,143,12.2,7.1,18.8
2020-04-09,143,10.3,3,17.5
2020-04-10,143,11,8.2,15
2020-04-11,143,10.6,5.8,15.2
2020-04-12,143,9.2,7.6,13
2020-04-13,143,10.2,6.4,16.7
2020-04-14,143,14.6,2.4,23.9
2020-04-15,143,14.5,6.6,23.1
2020-04-16,143,12.8,9,18.1
2020-04-17,143,10.7,8.6,12.9
2020-04-18,143,14,10.3,19.9
2020-04-19,143,11.1,9.6,13.9
2020-04-20,143,13.6,9.6,19.8
