날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-01-01,133,-4.6,-9.7,-1.2
2021-01-02,133,-3.5,-7.1,1.4
2021-01-03,133,-4.1,-8.5,0
2021-01-04,133,-2.8,-8.4,2.5
2021-01-05,133,-2.8,-7.6,0.3
2021-01-06,133,-5.3,-10.6,-1.4
2021-01-07,133,-11.2,-15.6,-3.4
2021-01-08,133,-13.5,-17.5,-8.3
2021-01-09,133,-11.4,-17,-6
2021-01-10,133,-8,-14.7,-2
2021-01-11,133,-6,-9.8,-2.4
2021-01-12,133,-1.4,-7,4.2
2021-01-13,133,3.7,-3.8,10.8
2021-01-14,133,3.3,-2.6,11.7
2021-01-15,133,6.1,-0.8,13.7
2021-01-16,133,-1.1,-4.8,3.4
2021-01-17,133,-3.3,-8.4,2
2021-01-18,133,-1.5,-4.8,4.6
2021-01-19,133,-4.8,-10.2,0.8
2021-01-20,133,-0.6,-8.7,9.3
2021-01-21,133,4.9,-1.2,9.3
2021-01-22,133,7.4,5.6,9.9
2021-01-23,133,8,4.3,11.7
2021-01-24,133,8.2,2.9,14.5
2021-01-25,133,8.3,3.1,14.4
2021-01-26,133,6.2,4.3,8
2021-01-27,133,2.9,-0.6,7.9
2021-01-28,133,-1.6,-6.6,5.6
2021-01-29,133,-6,-9.6,-0.5
2021-01-30,133,0.2,-7.6,9.2
2021-01-31,133,3.8,-4.5,12.5
2021-02-01,133,7.3,2.6,11
2021-02-02,133,-2.4,-4.4,2.6
2021-02-03,133,-1.4,-8.2,4.1
2021-02-04,133,-0.5,-3.7,4.1
2021-02-05,133,1.2,-5.6,7.9
2021-02-06,133,6,-1.1,9.3
2021-02-07,133,5.8,-0.4,11.4
2021-02-08,133,-1.7,-4.1,2.5
2021-02-09,133,0,-6.3,7.4
2021-02-10,133,2.6,-4.2,10
2021-02-11,133,5.3,-0.2,12.5
2021-02-12,133,6.9,0.3,16.3
2021-02-13,133,7.6,-0.5,17.4
2021-02-14,133,9.1,4.2,15.2
2021-02-15,133,3,-2,9
2021-02-16,133,-2.7,-5.7,2.7
2021-02-17,133,-6.1,-7.5,-3.6
2021-02-18,133,-4.3,-8.9,0.9
2021-02-19,133,2.6,-7,9.8
2021-02-20,133,11.2,6.3,17.2
2021-02-21,133,14.3,5.6,22.6
2021-02-22,133,11.7,1.6,19.9
2021-02-23,133,1.9,-2.4,8.6
2021-02-24,133,4.5,-1.4,12.1
2021-02-25,133,4.7,-0.1,8.9
2021-02-26,133,8.9,1.9,15.4
2021-02-27,133,8.7,5.1,12.9
2021-02-28,133,7.4,1.5,12.4
2021-03-01,133,8.2,2,12.7
2021-03-02,133,3,0.7,6.7
2021-03-03,133,4.3,-1.8,10.2
2021-03-04,133,5.7,1.5,10.5
2021-03-05,133,8.5,2.4,16.9
2021-03-06,133,7.5,4,14.3
2021-03-07,133,6.7,4.1,11.1
2021-03-08,133,8,1.8,15.3
2021-03-09,133,7.5,2.9,13.7
2021-03-10,133,9.6,0.3,18.4
2021-03-11,133,11,2.7,19.5
2021-03-12,133,8.3,7.1,10.8
2021-03-13,133,9,3.4,15.6
2021-03-14,133,9.4,3.9,15.1
2021-03-15,133,11.8,3.5,18.4
2021-03-16,133,11.1,4.6,16.6
2021-03-17,133,10,1.1,19.3
2021-03-18,133,12.5,4.1,20.8
2021-03-19,133,13.7,9.7,18.8
2021-03-20,133,9,7.5,11.9
2021-03-21,133,6.4,4.2,10.5
2021-03-22,133,7.1,2,13.1
2021-03-23,133,9.9,2.9,17.2
2021-03-24,133,10.8,3.3,18.4
2021-03-25,133,13,4.7,22.1
2021-03-26,133,14.4,5.2,22.5
2021-03-27,133,12.2,7.9,16.3
2021-03-28,133,10.3,9.1,14.9
2021-03-29,133,12.2,8.3,17.9
2021-03-30,133,12.6,5.8,20
2021-03-31,133,14.3,4,24.4
2021-04-01,133,15.8,11.1,21.6
2021-04-02,133,17.6,12.2,23.5
2021-04-03,133,16.4,14.5,18.2
2021-04-04,133,11.7,9.4,14.4
2021-04-05,133,11.6,4.4,18.2
2021-04-06,133,13.2,5.8,21.2
2021-04-07,133,14.3,6.3,22.9
2021-04-08,133,13.1,6.8,20.2
2021-04-09,133,12.3,4.7,20
2021-04-10,133,13,6.8,19.8
2021-04-11,133,15.6,6.1,23.5
2021-04-12,133,13.6,12.4,16.5
2021-04-13,133,11.3,5.1,17.3
2021-04-14,133,9.6,3.2,16.8
2021-04-15,133,11.6,2.3,19.6
2021-04-16,133,11.8,9.3,15.8
2021-04-17,133,10.7,6.9,16.6
2021-04-18,133,11.1,6.8,17.5
2021-04-19,133,13.5,4.4,22
2021-04-20,133,15.8,6.3,25.1
2021-04-21,133,19.6,9.6,29.7
2021-04-22,133,21.8,15.1,29.9
2021-04-23,133,19,16,22.2
